case_id,endpoint,bbl,sale_date,deed_document_id,deed_url,purchase_mortgage_document_id,purchase_financing_evidence,distress_evidence,borrower_buyer_match,collateral_match,purchase_vs_refinance,source_pages,reviewer,second_reviewer,notes
H016,a,4161100062,2017-02-01,2017022200935001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017022200935001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H016,z,4161100062,2023-06-16,2023062100241001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023062100241001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H017,a,4061940030,2019-06-06,2019061300875001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019061300875001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H017,z,4061940030,2022-12-20,2022122900773001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022122900773001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H018,a,4027430056,2019-10-15,2019102100559001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019102100559001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H018,z,4027430056,2023-11-15,2023111600825001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023111600825001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H019,a,3077940054,2019-01-05,2019011500625001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019011500625001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H019,z,3077940054,2024-06-21,2024062200027001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024062200027001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H020,a,4054890048,2017-08-23,2017082400414001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017082400414001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H020,z,4054890048,2023-09-22,2023101800390001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023101800390001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H021,a,2030800064,2017-03-07,2017031501000002,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017031501000002,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H021,z,2030800064,2025-02-27,2025030700075001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025030700075001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H022,a,4125860022,2019-03-19,2019032601051001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019032601051001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H022,z,4125860022,2022-05-09,2022051800644001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022051800644001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H023,a,3034390022,2017-11-27,2017120401137001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017120401137001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H023,z,3034390022,2025-06-23,2025071000678001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025071000678001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H024,a,2028560023,2018-12-12,2018121800970001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2018121800970001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H024,z,2028560023,2025-01-31,2025021100021001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025021100021001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H025,a,3059680019,2017-12-14,2017121500843001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017121500843001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H025,z,3059680019,2022-02-01,2022021100878001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022021100878001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H026,a,4141830004,2017-09-27,2017101001050001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017101001050001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H026,z,4141830004,2025-10-17,2025102400237001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025102400237001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H027,a,4032800003,2019-05-09,2019051400440001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019051400440001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H027,z,4032800003,2022-10-06,2022101100479001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022101100479001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H028,a,4024250045,2017-01-25,2017020100883001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017020100883001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H028,z,4024250045,2021-07-28,2021080900696001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021080900696001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H029,a,3073710027,2020-10-27,2020103100050001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020103100050001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H029,z,3073710027,2024-09-13,2024100700323001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024100700323001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H030,a,4123160011,2021-05-10,2021052501545004,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021052501545004,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H030,z,4123160011,2024-08-12,2024082300029001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024082300029001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H031,a,3030440033,2018-11-26,2018113000429001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2018113000429001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H031,z,3030440033,2024-04-15,2024042700005001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024042700005001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H032,a,3009690125,2016-08-15,2016082300585001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2016082300585001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H032,z,3009690125,2025-03-14,2025032600638003,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025032600638003,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H033,a,3073200068,2018-07-03,,,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H033,z,3073200068,2023-08-10,2023081400659001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023081400659001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H034,a,3057060054,2021-06-16,2021062300811001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021062300811001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H034,z,3057060054,2025-02-25,2026032300489001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026032300489001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H035,a,4102720011,2019-08-23,2019091701278001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019091701278001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H035,z,4102720011,2025-12-16,2025122300293001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025122300293001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H036,a,4071340078,2017-06-27,2017071000954001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017071000954001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H036,z,4071340078,2025-01-29,2025013000421001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025013000421001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H037,a,4069780011,2017-09-18,2017092701070001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017092701070001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H037,z,4069780011,2020-11-10,2020111300777001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020111300777001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H038,a,4032660043,2019-05-31,2019090500619001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019090500619001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
