bbl,deed_a,deed_z,related_a,related_z,related_strict_a,related_strict_z,party_data_a,party_data_z
1020500093,2016062100077002,2021110700046001,0,0,0,0,1,1
1020500103,2021070200003001,2025052300833001,0,0,0,0,1,1
1020510110,2016040500739001,2020122400214001,0,0,0,0,1,1
1020580006,2016030100548001,2025081500604001,0,0,0,0,1,1
1020610005,2019040900717002,2025072200747002,0,0,0,0,1,1
1020710055,,2025101500591001,0,0,0,0,0,1
1020760025,2017060600924003,2020081300570001,0,0,0,0,1,1
1020840003,2019051500804001,2025072400341001,0,0,0,0,1,1
1020930026,2018061200451001,2025052800601003,0,0,0,0,1,1
1021090063,2016012600095002,2025121700144001,0,1,0,1,1,1
1021090065,2017092900526001,2024011600743002,0,0,0,0,1,1
1021560145,2021021701446001,2025011700227001,0,0,0,0,1,1
1021700022,2019062300063001,2023070500790001,0,0,0,0,1,1
1022150438,2018070301030001,2023080900275001,1,0,1,0,1,1
2022680012,2020112000446002,2025062500526002,0,0,0,0,1,1
2022720133,2018120400739001,2025012700497001,0,0,0,0,1,1
2022740015,2019061400053001,2025063000374001,0,0,0,0,1,1
2022780046,2017041700148001,2021031800552001,0,0,0,0,1,1
2022800014,2016082300004001,2021052601475001,0,0,0,0,1,1
2022800069,2018010800172001,2024080700436001,0,0,0,0,1,1
2022830118,2018051001004001,2021122000048001,0,0,0,0,1,1
2022860112,2016081100801001,2024071800166001,0,0,0,0,1,1
2022870021,2016050900065001,2024020700521001,0,0,0,0,1,1
2022880087,2017102400775001,2025091801119002,0,0,0,0,1,1
2022890120,2016051900513001,2024030500673001,0,0,0,0,1,1
2022890122,2016122200457001,2024071000911002,0,0,0,0,1,1
2022890123,2017062800144001,2024112200278001,0,0,0,0,1,1
2022890128,2021101400196001,2025081600001002,0,0,0,0,1,1
2022890172,2017120801066001,2024092500189001,0,0,0,0,1,1
2023140082,2018121800572001,2026010800774001,0,0,0,0,1,1
2023530047,2020040700163003,,0,0,0,0,1,0
2023710005,2017053001038001,2020092500213001,0,0,0,0,1,1
2023770152,2019021900420001,2025081600031001,0,0,0,0,1,1
2023790143,2017121800543001,2024111800699001,0,0,0,0,1,1
2023820134,2018012300151001,2021030201040001,0,0,0,0,1,1
2023880047,2019040800575001,2025070100811001,0,0,0,0,1,1
2024040033,2017081001794002,2024081400520001,0,0,0,0,1,1
2024230080,2017111701029001,2022050400288001,0,0,0,0,1,1
2024230081,2018022701076001,2023091100561001,0,0,0,0,1,1
2024360031,2017020101237001,2024060600311001,0,0,0,0,1,1
2024360069,2018060601005001,2021112200589001,0,0,0,0,1,1
2024370036,2020121500564002,2025080700724001,0,0,0,0,1,1
2024390124,2018110801285001,2024121600584001,0,0,0,0,1,1
2024470066,2016110900269001,2022011401223001,0,0,0,0,1,1
2024520070,2019041500453001,2025012900421001,0,0,0,0,1,1
2024520071,2018032800039001,2025081200437001,0,0,0,0,1,1
2024720008,2017021401032001,2023091300770001,0,0,0,0,1,1
2025120027,2019091100257001,2022120800361001,0,0,0,0,1,1
2025140061,2016070100446001,2021122301273001,0,0,0,0,1,1
2025160117,2017122701138001,2024082601128001,0,0,0,0,1,1
2025160142,2018122700550004,2023071201025001,0,0,0,0,1,1
2025160144,2017121501078001,2022051600267001,0,0,0,0,1,1
2025190015,2020032500496001,2024112500901001,0,0,0,0,1,1
2025210012,2017022701338001,2022051601533001,0,0,0,0,1,1
2025240011,2019020800003001,2023062800157002,0,0,0,0,1,1
2025240114,2021082501575001,2025030300481001,0,0,0,0,1,1
2025240207,2016031601092001,2021081301169001,0,0,0,0,1,1
2025250027,2018011700068001,2022052300398001,0,0,0,0,1,1
2025280034,2017061600822001,2022071300426001,0,0,0,0,1,1
2025540037,2017061901116001,2021011300506001,0,0,0,0,1,1
2025550025,2019072300148001,2024062600481001,0,0,0,0,1,1
2025550112,2017012600448001,2021121700722001,0,0,0,0,1,1
2025650074,2017103100682001,2023070600392001,0,0,0,0,1,1
2025770008,2017110500014001,2022062700647003,0,0,0,0,1,1
2026120065,2017121100036001,2023010600170001,0,0,0,0,1,1
2026170055,2016020802234001,2019070901279001,0,0,0,0,1,1
2026170055,2019070901279001,2024082000552001,0,0,0,0,1,1
2026170057,2017072000174001,2022032400488001,0,0,0,0,1,1
2026230123,2016091900039001,2025102800690002,0,0,0,0,1,1
2026240009,2018122601236002,2024112500183001,0,0,0,0,1,1
2026280042,2016120800528001,2025011400637001,0,0,0,0,1,1
2026330030,2019122400052001,2025052000183001,0,0,0,0,1,1
2026520026,2018011700385001,2022050901081001,0,0,0,0,1,1
2026520043,2018020800994001,2025091700789001,0,0,0,0,1,1
2026620035,2017011600204002,2021082600967001,0,0,0,0,1,1
2026620042,2016021700717001,2024070200703001,0,0,0,0,1,1
2026630027,2019041801565001,2024071600772001,0,0,0,0,1,1
2026640051,2016032901071001,2021060700082001,0,0,0,0,1,1
2026750013,2016041100547001,2024050100005001,0,0,0,0,1,1
2026840142,2017020701081001,2021052500441001,0,0,0,0,1,1
2026870116,2019100300555001,2024020900386001,0,0,0,0,1,1
2026880080,2019111200968001,2024072400701001,0,0,0,0,1,1
2026910014,2020091800671001,2025052800489001,0,0,0,0,1,1
2026950030,2019080100644001,2023050100732001,0,0,0,0,1,1
2027000013,2020122300032001,2025042900268001,0,0,0,0,1,1
2027040021,2017021700484001,2020031800692001,0,0,0,0,1,1
2027190039,2018080101180001,2024080100564001,0,0,0,0,1,1
2027450049,2020031701088001,2025100500021001,0,0,0,0,1,1
2027480012,2016061401746001,2024050700595001,0,0,0,0,1,1
2027540137,2017020301217001,2021031500206001,0,0,0,0,1,1
2027580013,2017032100007001,2024041100633001,0,0,0,0,1,1
2027610465,2017041901208001,2025021700121001,0,0,0,0,1,1
2027650165,2017101800539001,2025060400478001,0,0,0,0,1,1
2027650282,2018010900056002,2022102700996001,0,0,0,0,1,1
2027820091,2018041100179001,2024021600838001,0,0,0,0,1,1
2027820131,2018103100698001,2023080200702001,0,0,0,0,1,1
2027820142,2017071200732001,2025052800420001,0,0,0,0,1,1
2027830013,,2020080600952001,0,0,0,0,0,1
2027830070,2016051700227001,2021121400964001,0,0,0,0,1,1
2027830074,2016031701051001,2021030300356001,0,0,0,0,1,1
2027830080,2022041100808001,2025121800910001,0,0,0,0,1,1
2027840057,2019022700141001,2025052800078001,0,0,0,0,1,1
2028000077,2016120100997001,2025032700913001,0,0,0,0,1,1
2028000090,2017051800532001,2021042300887001,0,0,0,0,1,1
2028000090,2021042300887001,2024111900516003,0,0,0,0,1,1
2028020032,2019061600022001,2023020700225001,0,0,0,0,1,1
2028070010,2017011101210002,,0,0,0,0,1,0
2028110032,2018050701188001,2022022401446001,0,0,0,0,1,1
2028280042,2017062600343001,2024040900462004,0,0,0,0,1,1
2028290014,2017072800547001,2021041300066001,0,0,0,0,1,1
2028480050,2017021300535001,2022022100365001,0,0,0,0,1,1
2028560023,2018121800970001,2025021100021001,0,0,0,0,1,1
2028660077,2018041200976001,2022052200036001,0,0,0,0,1,1
2028670137,,2024031300658001,0,0,0,0,0,1
2028680274,2017061900719001,2020111901006001,0,1,0,0,1,1
2028690053,2017090500298001,2021031101576001,0,0,0,0,1,1
2028720101,2016033100787001,2022020401107001,0,0,0,0,1,1
2028730100,2020101100046001,2024040300817001,0,0,0,0,1,1
2028770429,2016030400891001,2022112901175001,0,0,0,0,1,1
2028770475,2017091800379001,2022112300389001,0,0,0,0,1,1
2028770521,2018050901027001,2023020600823001,0,0,0,0,1,1
2028790007,2016020802155001,2024110400645001,0,0,0,0,1,1
2028790011,2018080700848001,2025070900026001,0,0,0,0,1,1
2028790145,2016063000760002,2024032900068001,0,0,0,0,1,1
2028800175,2017062801260001,2022103100137001,0,0,0,0,1,1
2028880036,2021051300165001,2025010700934001,0,0,0,0,1,1
2028920008,2018111900838001,2023050200946007,0,0,0,0,1,1
2028920016,2017053101033001,2021110801646001,0,0,0,0,1,1
2029120117,2016041501049001,2024060500529002,0,0,0,0,1,1
2029340035,2016033000391001,2025082200515001,0,0,0,0,1,1
2029360041,2020013101024001,2023051801010001,0,0,0,0,1,1
2029480050,2019040901144001,2023040500340001,0,0,0,0,1,1
2029550021,2017040600062001,2025091900289001,0,0,0,0,1,1
2029580043,2019031500630001,2023011301046001,0,0,0,0,1,1
2029580053,2019122000878001,2025060500314001,0,0,0,0,1,1
2029580140,2018062901302001,2022071501595001,0,0,0,0,1,1
2029580218,2020020301143003,2025062300293001,0,0,0,0,1,1
2029600042,,2021032201392001,0,0,0,0,0,1
2029600145,2016121300104001,2023031700649003,0,0,0,0,1,1
2029600146,2021071200484001,2025110700227001,0,0,0,0,1,1
2029600148,2017070300742001,2021121600930001,0,0,0,0,1,1
2029600151,2021040101302001,2025050100510001,0,0,0,0,1,1
2029610047,2016070701204001,2022092000499001,0,0,0,0,1,1
2029630150,2017110100011001,2025111200934001,0,0,0,0,1,1
2029640005,2016071401285001,2025062400530002,0,0,0,0,1,1
2029650105,2020012200698001,2024092600892002,0,0,0,0,1,1
2029660219,2019010701092001,2022032901273001,0,0,0,0,1,1
2029680034,2017081501348001,2021051901584001,1,0,1,0,1,1
2029710007,2017092900603001,2024020700536001,0,0,0,0,1,1
2029720028,2017121200652001,2025111700749001,0,0,0,0,1,1
2029730150,2019072600379001,2024020900216001,0,0,0,0,1,1
2029740114,2018120300525001,2024110600568001,0,0,0,0,1,1
2029750005,2018113000001001,2022110300577001,0,0,0,0,1,1
2029770087,2016062801444001,2023122900342002,0,0,0,0,1,1
2029770301,2018060400395001,2022011301520001,0,0,0,0,1,1
2029770363,2018032801125001,2021060700445003,0,0,0,0,1,1
2029890010,2016121501933001,2022063001285001,0,0,0,0,1,1
2029940012,2017051500325001,2024041000274001,0,0,0,0,1,1
2029950122,2019011100371001,2024062500769001,0,0,0,0,1,1
2030000036,2016040100489001,2024090300300001,0,0,0,0,1,1
2030370101,2017112000631001,2022030900956001,0,0,0,0,1,1
2030390018,2017030600831001,2022062000676001,0,0,0,0,1,1
2030390063,2018122700940001,2021123100207001,0,0,0,0,1,1
2030450016,2017111700519001,2021032500392001,0,0,0,0,1,1
2030470009,2018010501002001,2022011800613001,0,0,0,0,1,1
2030470029,2017033000904002,2022030101243001,0,0,0,0,1,1
2030500091,2018091100523001,2024041700167001,0,0,0,0,1,1
2030550029,2019041200269001,2025041000379001,0,0,0,0,1,1
2030570040,2016072700772001,2023031100025001,0,0,0,0,1,1
2030580078,2019012901018002,2025112600802001,0,0,0,0,1,1
2030630146,2019092600005001,2024112600029001,0,0,0,0,1,1
2030680068,2016091200834001,2024011500151001,0,0,0,0,1,1
2030680088,2016110200182001,2025111201097001,0,0,0,0,1,1
2030680142,2020073000474001,2025110700591001,0,0,0,0,1,1
2030680143,2020072301023001,2025110700616001,0,0,0,0,1,1
2030680144,2018082900620001,2022041100459001,0,0,0,0,1,1
2030710003,2016072200121001,2021072901178001,0,0,0,0,1,1
2030800064,2017031501000002,2025030700075001,0,0,0,0,1,1
2030820019,2019060501036001,2025082100511003,0,0,0,0,1,1
2030960131,2022051800761001,2025122300691001,0,0,0,0,1,1
2030970074,2021012600974002,2025091700208001,0,0,0,0,1,1
2031020076,2019050100852001,2025120400348001,0,0,0,0,1,1
2031030058,2017020600246001,2022122801020001,0,0,0,0,1,1
2031030167,2019060700241001,2025040300792001,0,0,0,0,1,1
2031050051,2017081100545001,2021022200970001,0,0,0,0,1,1
2031100075,2022050301291001,2025111701029001,0,0,0,0,1,1
2031420016,2018020900001001,2026010800930002,0,0,0,0,1,1
2031440003,2019010300350001,2023030700786001,0,0,0,0,1,1
2031440031,2017040500888001,2023030800615001,0,0,0,0,1,1
2031440080,,2023090500740001,0,0,0,0,0,1
2031450037,2019040800486001,2023101800778001,0,0,0,0,1,1
2031490182,2018041400009001,2023061201077001,0,0,0,0,1,1
2031560024,2016072500757001,2022051900734001,0,0,0,0,1,1
2031560181,2016121401240001,2021111800222001,0,0,0,0,1,1
2031710018,2019061801280001,,0,0,0,0,1,0
2031860068,2019091100320001,2022090100774001,0,0,0,0,1,1
2031880090,2016070200081001,2020110900212001,0,0,0,0,1,1
2031940006,2016032000006001,2019081200832001,0,0,0,0,1,1
2032020012,2017041000784001,2025040100678001,0,0,0,0,1,1
2032060012,2020021301260001,2023042600482001,0,0,0,0,1,1
2032060063,2018031900731002,2021081600612001,0,0,0,0,1,1
2032070020,2018071600598001,2022021701521001,0,0,0,0,1,1
2032080007,2016072800675002,2022072000054001,0,0,0,0,1,1
2032100057,2019031200591001,2025043000281001,0,0,0,0,1,1
2032120094,2021061501571001,2025060200372001,0,0,0,0,1,1
2032150044,2016123100055001,2021111901189001,1,0,1,0,1,1
2032190199,2016123001108001,2023030900691001,1,0,1,0,1,1
2032250182,2022011101539001,2025030301153001,0,0,0,0,1,1
2032280076,2017050600058001,2022062700993001,0,0,0,0,1,1
2032400022,2017122001210001,2024031300819001,0,0,0,0,1,1
2032500054,2016110300847001,2024100900262001,0,0,0,0,1,1
2032530034,2016072500659001,2020120900282001,0,0,0,0,1,1
2032530135,2016062301086001,2024101600498001,0,0,0,0,1,1
2032530191,2016072101401001,2022081800799001,0,0,0,0,1,1
2032550040,2016120600368002,2022032301631001,1,0,1,0,1,1
2032550088,2016021801845001,2022051601126001,0,0,0,0,1,1
2032580048,2016092200299001,2024041000481001,0,0,0,0,1,1
2032610058,2018062600266001,2023060200779002,0,0,0,0,1,1
2032630037,2019112501094001,2024122600975001,0,0,0,0,1,1
2032630257,2019082000090001,2024080200396001,0,0,0,0,1,1
2032780075,2017041701004001,2023052900027001,0,0,0,0,1,1
2032840016,2017081500576001,2021021801307001,0,0,0,0,1,1
2032870095,2021011901553001,2025020400587001,0,0,0,0,1,1
2032880028,2016120701306001,2024092000484002,0,0,0,0,1,1
2032890029,2018041700397001,2023021500362002,0,0,0,0,1,1
2032890035,2020062900438001,2023112200681001,0,0,0,0,1,1
2032890042,2018071900317001,2024040900254001,0,0,0,0,1,1
2032890073,2017020101402001,2025070900084001,0,0,0,0,1,1
2032940015,2019010800145001,2024010300659001,0,0,0,0,1,1
2032940065,2019030300033002,2024100200275001,0,0,0,0,1,1
2032950030,2017071000800001,2022061601497001,0,0,0,0,1,1
2032980042,2016030400156001,2021072201523001,0,0,0,0,1,1
2033000080,2018082400773001,2025092900471001,0,0,0,0,1,1
2033080044,2019050300675001,2025072400272001,0,0,0,0,1,1
2033110037,2016083001249001,2025030500613001,0,0,0,0,1,1
2033110110,2018061901147001,2021100400475001,0,0,0,0,1,1
2033110119,2018072700627001,2021092701274001,0,0,0,0,1,1
2033150031,2016112100925001,2021052400610002,0,0,0,0,1,1
2033160056,2018050300641001,2024120200193001,0,0,0,0,1,1
2033190024,2019030501088002,2024102900315001,0,0,0,0,1,1
2033220072,2017022801202001,2022041201159001,0,0,0,0,1,1
2033330042,2022013100820001,2025021000701001,0,0,0,0,1,1
2033430163,2017120500766001,2022051001018001,0,0,0,0,1,1
2033510018,2017081000545001,2025050100565001,0,0,0,0,1,1
2033510027,2017072400326001,2022053100580001,0,0,0,0,1,1
2033550152,2019060400621001,,0,0,0,0,1,0
2033600055,2021030500971001,2024122300535001,0,0,0,0,1,1
2033600061,2016050400345001,2023090700334001,0,0,0,0,1,1
2033750079,2017041800054001,2020102000569001,0,0,0,0,1,1
2033760083,2017070600968001,2021121600201001,0,0,0,0,1,1
2033770087,2018091000232002,2022020700757001,0,0,0,0,1,1
2033780097,2020061900700001,2025062500858001,0,0,0,0,1,1
2033790026,2017101700477002,2024091100223001,0,0,0,0,1,1
2033800084,2016022600395003,2022031800331001,0,0,0,0,1,1
2033850086,2016121300253001,2022050500707001,0,0,0,0,1,1
2033870012,2019040100080001,2022101700134001,0,0,0,0,1,1
2033870036,2016072701304001,2020100100287003,0,0,0,0,1,1
2033890042,,2024032800547001,0,0,0,0,0,1
2033890056,2019072200538001,2025092400335001,0,0,0,0,1,1
2033980007,2019050700632001,2025100801108001,0,0,0,0,1,1
2034300039,2018041000971001,2025071700098001,0,0,0,0,1,1
2034300281,2019091000105001,2023112900254001,0,0,0,0,1,1
2034360106,2017112100183001,2025101600340001,0,0,0,0,1,1
2034360108,2016022200429001,2019052400566002,0,0,0,0,1,1
2034360111,2016060100664001,2021102000613001,0,0,0,0,1,1
2034360116,2016030800112001,2021101401443001,0,0,0,0,1,1
2034360162,2016020100547001,2021092800658001,0,0,0,0,1,1
2034360163,2016050600481001,2019092500706002,0,0,0,0,1,1
2034480011,2018082700704001,2025062400659001,0,0,0,0,1,1
2034560071,2021111600054001,2025070700328001,0,0,0,0,1,1
2034600053,2020072500095001,2023112900669001,0,0,0,0,1,1
2034690035,2019073100063002,2023092100696001,0,0,0,0,1,1
2034720049,2017041100864001,2025041100529001,0,0,0,0,1,1
2034830073,2018111501056001,2021121500502001,0,0,0,0,1,1
2034830109,2019012500481001,2022122900730001,0,0,0,0,1,1
2034870139,2018092501105001,2024112700219002,0,0,0,0,1,1
2034920051,2018032600322001,2025082700428001,0,0,0,0,1,1
2034960050,2018012201182001,2024110100288001,0,0,0,0,1,1
2034960061,2017022300261001,2022030800999001,0,0,0,0,1,1
2035000145,2017090701088001,2020120200502003,0,0,0,0,1,1
2035080132,2018012901102002,2022021401199002,0,0,0,0,1,1
2035090059,2016070701144001,2024063000026001,0,0,0,0,1,1
2035110009,2016090700761002,2020030400690001,0,0,0,0,1,1
2035110029,2016060900184001,2020122900439001,0,0,0,0,1,1
2035110037,2020011500514002,2024111900860001,0,0,0,0,1,1
2035120042,2017071700665005,2020083100848001,0,0,0,0,1,1
2035200027,2017081400475001,2023011100638001,0,0,0,0,1,1
2035210035,2019032100658002,2022041501161001,0,0,0,0,1,1
2035210069,2019110401150001,2023081000709001,0,0,0,0,1,1
2035230021,2016090900507001,2022061700901001,0,0,0,0,1,1
2035250006,2018040501149001,2025032000112001,0,0,0,0,1,1
2035270019,2018100100609001,2022072200349001,0,0,0,0,1,1
2035280009,2017010301574001,2022112900136001,0,0,0,0,1,1
2035310110,2018080100408001,2022083100302001,0,0,0,0,1,1
2035310146,2019030500083001,2023121200177002,0,0,0,0,1,1
2035560001,2016071201415001,2019092300836001,0,0,0,0,1,1
2035560043,2016042500310001,2020032100043001,0,0,0,0,1,1
2035560048,2018061900609001,2023051500386002,0,0,0,0,1,1
2035560403,2019080500006001,2023030601008001,0,0,0,0,1,1
2035570032,2018120300736001,2023092600561001,0,0,0,0,1,1
2035620017,2020041000486001,2024061100674001,0,0,0,0,1,1
2035750021,2016101101625001,2021030201547001,0,0,0,0,1,1
2035750074,2019082000978002,2022092001234001,0,0,0,0,1,1
2035940052,2016011100378001,2023090300006001,0,0,0,0,1,1
2035950018,2017091801076001,2021110901547001,0,0,0,0,1,1
2035960022,2016021700625001,2024012500160002,0,0,0,0,1,1
2035980062,2019082601081002,2025073000039001,0,0,0,0,1,1
2035990017,2018071200583001,2023010301015001,0,0,0,0,1,1
2036080062,2018090600561001,2022060600140001,0,0,0,0,1,1
2036090001,2018041600463001,2021052601306001,0,0,0,0,1,1
2036110041,2017111300547001,2025031000330001,0,0,0,0,1,1
2036670048,2016070600954001,2024060300121001,0,0,0,0,1,1
2036670049,2018021300115003,2022010300704001,1,0,1,0,1,1
2036810042,2017030200442001,2022080400392001,0,0,0,0,1,1
2036880056,2019080601159001,2023032700804001,0,0,0,0,1,1
2036880068,2020101900563001,2024030800018001,0,0,0,0,1,1
2036930027,2020032400829001,2023110300638001,0,0,0,0,1,1
2036930076,2019092100010001,2023030800384001,0,0,0,0,1,1
2037110062,2019071800541002,2023081501066001,0,0,0,0,1,1
2037120012,2018081100033001,2024100800134001,0,0,0,0,1,1
2037130060,2017030601100001,2024061300592001,0,0,0,0,1,1
2037130062,2017030600732001,2024061300592001,0,0,0,0,1,1
2037130066,2017030600666001,2024061300592001,0,0,0,0,1,1
2037130067,2017030601195001,2024061300592001,0,0,0,0,1,1
2037150046,,2022102700793001,0,0,0,0,0,1
2037310064,2019050100418001,2023060200645001,0,0,0,0,1,1
2037330024,2016081600076001,2023071901081001,0,0,0,0,1,1
2037440048,2016061401189001,2021070801542001,0,0,0,0,1,1
2037560027,2016122001168001,2022050400898001,0,0,0,0,1,1
2037590067,2017071001127001,2025061700698001,0,0,0,0,1,1
2037630025,2018073101023001,2025050500962001,0,0,0,0,1,1
2037640008,2019022500259001,2025100300180001,0,0,0,0,1,1
2037670008,2017020300488001,2022072201220001,0,0,0,0,1,1
2037730022,2020072000659002,2025111600061001,0,0,0,0,1,1
2037750075,2018092500368001,2022100500858001,0,0,0,0,1,1
2037760012,2017050300842001,2024100800726001,0,0,0,0,1,1
2037760021,2019032800265001,2023032100339001,0,1,0,1,1,1
2037760022,2017030800447001,2023100200859001,0,0,0,0,1,1
2037780041,2018020600376001,2021092800442001,0,0,0,0,1,1
2037800125,2016102601528001,2024012400516001,0,0,0,0,1,1
2037830030,2017101801206001,2024020200188001,0,0,0,0,1,1
2037900073,2016022200503001,2020042300700001,0,0,0,0,1,1
2037940044,2017012300749001,2023032700218004,0,0,0,0,1,1
2037970030,2018041600853001,2025072900276001,1,0,0,0,1,1
2037990001,2018112901435001,2022040500409001,0,0,0,0,1,1
2037990144,2020022900056001,2023061000017001,0,0,0,0,1,1
2038000016,2016120600571003,2020121101419001,0,0,0,0,1,1
2038000177,2016051101164001,2024103100674001,0,0,0,0,1,1
2038040031,2017030800857003,2022033000586001,0,0,0,0,1,1
2038080017,2017083000974001,2022061800053001,0,0,0,0,1,1
2038160076,2017011600530001,2025092500888001,0,0,0,0,1,1
2038180025,2019111100165001,2024030100209001,0,0,0,0,1,1
2038220069,2016052401183002,2025012101067001,0,1,0,1,1,1
2038220083,2017041100757001,2025100300805001,0,0,0,0,1,1
2038310016,2017103100541001,2023072500988001,0,0,0,0,1,1
2038480115,2017050300256001,2020112400049001,0,0,0,0,1,1
2038720019,2018092700156001,2024111200711001,0,0,0,0,1,1
2038760006,2017123100003001,2024111400493001,0,0,0,0,1,1
2038790021,2019011500817001,2026010100054001,0,0,0,0,1,1
2038920019,2016090201073001,2021021800925001,0,0,0,0,1,1
2038950074,2016050400659001,2022021500937001,0,0,0,0,1,1
2038990004,2019100400199001,2024082100220001,0,0,0,0,1,1
2039010003,2016020100512001,2019122000221002,0,0,0,0,1,1
2039090020,2020010200236001,2024051000042001,0,0,0,0,1,1
2039130039,2016100700009002,2021041901136001,0,0,0,0,1,1
2039130039,2021041901136001,2025060400725001,0,0,0,0,1,1
2039150011,2018022000549001,2022100500196001,0,0,0,0,1,1
2039190048,2021013100054001,2025110500572001,0,0,0,0,1,1
2039310063,2019121000683002,2025071200029001,0,0,0,0,1,1
2039320048,2019080101178001,2024082300829001,0,0,0,0,1,1
2039340032,2016060201197001,2021021900851001,0,0,0,0,1,1
2039480040,2016090801297001,2024110500462001,0,0,0,0,1,1
2039680034,2016082300255001,2021021600426001,0,1,0,0,1,1
2039750022,2016121900600002,2022071301056001,0,0,0,0,1,1
2039760024,2016060800947001,2021091000633001,0,0,0,0,1,1
2039760044,2019092401195001,2025061600550001,0,1,0,1,1,1
2039770038,2017032901398001,2025082200930001,0,0,0,0,1,1
2039790037,2019013100485001,2025053000163001,1,0,0,0,1,1
2039850129,2019102900396001,2025102100094001,0,0,0,0,1,1
2039920003,2022120600733001,2026010500355001,0,0,0,0,1,1
2039930005,2020051200379001,2024033000049001,0,0,0,0,1,1
2039930037,2017102701485001,2023051800171001,0,0,0,0,1,1
2039960009,2020112501257001,2023120200029001,0,0,0,0,1,1
2039960061,2017062300375001,2022040701065001,0,0,0,0,1,1
2040000009,2017040500500001,2025013100351001,0,0,0,0,1,1
2040070029,2020010300886001,2023041800372003,0,0,0,0,1,1
2040160043,2016112900032002,2023101100575001,0,0,0,0,1,1
2040180011,2017061500736001,2024071700085002,0,0,0,0,1,1
2040180050,2016071401509001,2025110300651001,0,0,0,0,1,1
2040200010,2016111601300001,2022052500308001,0,0,0,0,1,1
2040200043,2019072500319001,2024053000627001,0,0,0,0,1,1
2040210044,2016122201864001,2024040800330001,0,0,0,0,1,1
2040230049,2016041200574001,2019042300183001,0,0,0,0,1,1
2040260008,2017123000010001,2024072500451001,0,0,0,0,1,1
2040260009,2017123000009001,2024072500439001,0,0,0,0,1,1
2040260010,2017062201002001,2024100300122001,0,0,0,0,1,1
2040260026,2016102400816001,2021022301048001,0,0,0,0,1,1
2040260041,2016030701056001,2024032100921001,0,0,0,0,1,1
2040270127,2017070300450001,2023122700317002,0,0,0,0,1,1
2040290028,2016033001176001,2025050200496001,0,0,0,0,1,1
2040310018,2016120701493001,2022041301015001,0,0,0,0,1,1
2040320011,2017090400027001,2022010400793001,0,0,0,0,1,1
2040340040,2017092500030002,2021051800472001,0,0,0,0,1,1
2040350020,2018050300695001,2021110300998001,0,0,0,0,1,1
2040360012,2017061901150001,2021041401507001,0,0,0,0,1,1
2040450059,,2025071600108001,0,0,0,0,0,1
2040450103,2017050200204001,2022081701330001,0,0,0,0,1,1
2040460049,2016072901021001,2020111901238001,0,0,0,0,1,1
2040480006,2018062801194001,2022040601003001,0,0,0,0,1,1
2040500061,2019062001806001,2025082700244001,0,0,0,0,1,1
2040520025,2016031500356001,2021090201164001,0,0,0,0,1,1
2040520056,2016072101026001,2022050900409001,0,0,0,0,1,1
2040520062,2016101900601001,2025020500722002,0,0,0,0,1,1
2040540057,2017080100730001,2025081100526002,0,0,0,0,1,1
2040560007,2017070600775001,2021120100751001,0,0,0,0,1,1
2040560076,2017092600473002,2025080100221001,0,0,0,0,1,1
2040580037,2016071200648001,2022111100114001,0,0,0,0,1,1
2040660004,2017080200665001,2022081100275002,0,0,0,0,1,1
2040740014,2017031100064001,2022102100166001,0,0,0,0,1,1
2040780034,2016012000130001,2022072100693001,0,0,0,0,1,1
