bbl,sale_date,deed,nearest_gap_days,nearest_ties,amount_match_1pct,dof_price,document_amount
1019490159,2025-06-27,2025071100186001,0.0,1,True,4175000.0,4175000.0
1020230021,2016-08-15,2016081900503001,0.0,1,True,1755000.0,1755000.0
1020230021,2021-01-13,,0.0,2,False,3575000.0,0.0
1020240009,2016-04-29,2016050300965002,0.0,1,True,3100000.0,3100000.0
1020240009,2021-08-04,2021080500031001,0.0,1,True,2650000.0,2650000.0
1020410028,2016-09-22,2016100300730001,0.0,1,True,1550000.0,1550000.0
1020410028,2021-11-19,2021113000052005,0.0,1,True,2999999.0,2999999.0
1020500027,2019-07-09,2019071500685001,0.0,1,True,3450000.0,3450000.0
1020500027,2024-12-23,2025010700888001,0.0,1,True,2500000.0,2500000.0
1020500093,2016-06-16,2016062100077002,0.0,1,True,3000000.0,3000000.0
1020500093,2021-10-22,2021110700046001,0.0,1,True,2925000.0,2925000.0
1020500096,2016-02-12,2016022300620001,0.0,1,True,1925000.0,1925000.0
1020500096,2021-06-09,2021061701229001,0.0,1,True,304200.0,304200.0
1020500103,2017-06-06,2017061700109001,0.0,1,True,2000000.0,2000000.0
1020500103,2021-07-01,2021070200003001,0.0,1,True,3850000.0,3850000.0
1020500103,2025-05-15,2025052300833001,0.0,1,True,2825000.0,2825000.0
1020510110,2016-04-01,2016040500739001,0.0,1,True,1750000.0,1750000.0
1020510110,2020-12-11,2020122400214001,0.0,1,True,1870000.0,1870000.0
1020530065,2017-08-10,2017081700368003,0.0,1,True,4300000.0,4300000.0
1020530065,2025-11-21,2025120500775001,0.0,1,True,2500000.0,2500000.0
1020580006,2016-02-29,2016030100548001,0.0,1,True,2900000.0,2900000.0
1020580006,2025-08-07,2025081500604001,0.0,1,True,2600000.0,2600000.0
1020600024,2016-12-09,2016121401028001,0.0,1,True,950000.0,950000.0
1020600024,2022-01-18,2022012400088001,0.0,1,True,1090000.0,1090000.0
1020610005,2019-04-01,2019040900717002,0.0,1,True,2425000.0,2425000.0
1020610005,2025-07-08,2025072200747002,0.0,1,True,2200000.0,2200000.0
1020670040,2016-11-09,2016111100851001,0.0,1,True,3395000.0,3395000.0
1020670040,2024-01-26,2024013000175001,0.0,1,True,2710000.0,2710000.0
1020710055,2016-01-14,,0.0,2,False,1044729.0,0.0
1020710055,2025-10-01,2025101500591001,0.0,1,True,1999900.0,1999900.0
1020730013,2016-01-29,2016020200591001,0.0,1,True,1920000.0,1920000.0
1020730013,2024-12-12,2024122200025002,0.0,1,True,2200000.0,2200000.0
1020760025,2017-06-05,2017060600924003,0.0,1,True,2450000.0,2450000.0
1020760025,2020-07-30,2020081300570001,0.0,1,True,2400000.0,2400000.0
1020840003,2019-05-10,2019051500804001,0.0,1,True,2000000.0,2000000.0
1020840003,2025-07-11,2025072400341001,0.0,1,True,2250000.0,2250000.0
1020930026,2018-05-31,2018061200451001,0.0,1,True,3150000.0,3150000.0
1020930026,2025-05-23,2025052800601003,0.0,1,True,2650000.0,2650000.0
1020930045,2019-03-21,2019032800463001,0.0,1,True,2400000.0,2400000.0
1020930045,2025-05-27,2025060200572001,0.0,1,True,2000000.0,2000000.0
1021090063,2016-01-22,2016012600095002,0.0,1,True,1492500.0,1492500.0
1021090063,2025-11-24,2025121700144001,0.0,1,True,787500.0,787500.0
1021090065,2017-09-28,2017092900526001,0.0,1,True,1560000.0,1560000.0
1021090065,2023-07-28,2024011600743002,0.0,1,True,1580000.0,1580000.0
1021090075,2018-06-28,2018070200435001,0.0,1,True,1625000.0,1625000.0
