parcels,pairs,reduction_fraction,uniform_log_outcome_shift,max_multiplicative_growth_factor,resulting_contrast
10,11,0.5,3.5525624650015386,34.9026397890112,0.046256774996099745
10,11,1.0,7.105124930003077,1218.1942642414674,6.765421556309548e-17
30,32,0.5,1.2703795332192667,3.5622042806866245,0.046256774996099696
30,32,1.0,2.5407590664385333,12.689299337342112,5.204170427930421e-17
60,63,0.5,0.6713612349467754,1.9568993081552548,0.04625677499609973
60,63,1.0,1.3427224698935507,3.829454902258515,7.28583859910259e-17
120,125,0.5,0.358149397157871,1.4306793439424712,0.046256774996099745
120,125,1.0,0.716298794315742,2.04684338518366,7.719519468096792e-17
