ols,huber,trim_1_99,trim_2.5_97.5
0.0976480431744281,0.07555277899026927,0.079035774182672,0.054948267615023444
0.09990601493457096,0.07656209404904155,0.07996757179057845,0.05766783140475565
0.11458477418936773,0.09200957667029491,0.09498611054224945,0.06807380216216181
0.11176287867509768,0.09131601183463639,0.0915391217421758,0.07263442525611784
0.10186163430005893,0.0755409118878623,0.08248988183856094,0.05659955711300105
0.10523274695310116,0.08202792228914639,0.08649946205332514,0.06500232993964011
0.1018019271322898,0.07520190626610138,0.08035270568224943,0.056810812293169345
0.12848815545847297,0.10363560759649791,0.11060159636859593,0.08446702199618392
0.10874307796375589,0.0897872946501438,0.09007913611126175,0.07434557881157523
0.10268405577960096,0.08851780130862096,0.0933118781763648,0.07045034271860029
0.11789510023388985,0.09712106943640789,0.09703617486317256,0.07216044452719213
0.1165285934718421,0.09219880900864891,0.09608066427834763,0.07529815543695946
0.11134019198032462,0.08568779711990192,0.07943395021465231,0.05508812783837571
0.11148178897866456,0.088297777287144,0.09152039981381352,0.06681946608001829
0.1207651175272409,0.08772701780676705,0.09130254826067012,0.06271089981004828
0.11173249901883159,0.08245221728044422,0.09228452892560635,0.06720371511192831
0.1253338346560626,0.09592388738764512,0.09627273602090092,0.06440188519884675
0.12479669791464579,0.09653824717316972,0.09545142755017721,0.07864641066347305
0.1265088289148825,0.09388452647183325,0.104983574612939,0.06696606172692009
0.10350034039067367,0.081425342301578,0.08483703484235663,0.06743988108238856
0.11463902173393972,0.08635623411724089,0.08842269961233351,0.0647966668254285
0.115926713021834,0.09120438503945902,0.09092138545796069,0.06674101469294307
0.10742895765813543,0.08477901151342715,0.08942960361679446,0.07352509845089181
0.11924633225757766,0.08562170820808052,0.09172453470187923,0.06585806018065703
0.11645588440529367,0.09119070090063168,0.09556087886670964,0.07136946859579103
0.12239109711120537,0.0911943890798471,0.0991231004507056,0.07408105465705812
0.12519178682070714,0.09274527525716075,0.10180744553656657,0.07736052825450175
0.1172533772756502,0.0897488582806105,0.09379270434702565,0.0732741439309842
