type,threshold,year,borough,local_sales,financed,cash
house,2000000,2024,2,9,5,4
house,2000000,2024,3,325,239,86
house,2000000,2024,4,114,80,34
house,2000000,2025,1,14,10,4
house,2000000,2025,2,13,5,8
house,2000000,2025,3,339,269,70
house,2000000,2025,4,134,102,32
house,3000000,2020,1,4,3,1
house,3000000,2020,2,0,0,0
house,3000000,2020,3,55,37,18
house,3000000,2020,4,3,2,1
house,3000000,2021,1,10,6,4
house,3000000,2021,2,5,1,4
house,3000000,2021,3,105,79,26
house,3000000,2021,4,5,0,5
house,3000000,2022,1,4,3,1
house,3000000,2022,2,0,0,0
house,3000000,2022,3,96,68,28
house,3000000,2022,4,7,4,3
house,3000000,2023,1,4,0,4
house,3000000,2023,2,1,0,1
house,3000000,2023,3,78,51,27
house,3000000,2023,4,4,1,3
house,3000000,2024,1,6,4,2
house,3000000,2024,2,5,1,4
house,3000000,2024,3,106,72,34
house,3000000,2024,4,8,5,3
house,3000000,2025,1,4,2,2
house,3000000,2025,2,4,0,4
house,3000000,2025,3,124,78,46
house,3000000,2025,4,13,9,4
condo,500000,2020,1,287,167,120
condo,500000,2020,2,41,32,9
condo,500000,2020,3,596,447,149
condo,500000,2020,4,510,333,177
condo,500000,2021,1,554,327,227
condo,500000,2021,2,83,64,19
condo,500000,2021,3,896,743,153
condo,500000,2021,4,871,586,285
condo,500000,2022,1,449,260,189
condo,500000,2022,2,77,60,17
condo,500000,2022,3,819,597,222
condo,500000,2022,4,917,599,318
condo,500000,2023,1,336,152,184
condo,500000,2023,2,64,52,12
condo,500000,2023,3,548,356,192
condo,500000,2023,4,623,353,270
condo,500000,2024,1,344,145,199
condo,500000,2024,2,70,54,16
condo,500000,2024,3,521,320,201
condo,500000,2024,4,688,373,315
condo,500000,2025,1,415,163,252
condo,500000,2025,2,70,53,17
condo,500000,2025,3,503,307,196
condo,500000,2025,4,763,438,325
condo,1000000,2020,1,429,239,190
condo,1000000,2020,2,4,3,1
condo,1000000,2020,3,451,361,90
condo,1000000,2020,4,109,77,32
condo,1000000,2021,1,872,561,311
