ols,huber,trim_1_99,trim_2.5_97.5
0.07959910087258998,0.06076527009371246,0.0675036369223215,0.04412966312274835
0.08712503711909281,0.0707311549317664,0.07649939057230665,0.05057338715472164
0.09568478392227393,0.07322704851992066,0.07767225102105538,0.050515131823956796
0.1027759911919583,0.08207630254801429,0.09295879525437961,0.0630756144905179
0.09825142717582896,0.06634548145206799,0.06550090357734187,0.04080151008350656
0.08347257778074146,0.062016338080862335,0.07396525753924299,0.04565630282941
0.0932215749610292,0.06936857654409123,0.08243896512624424,0.05111432286938504
0.0894794051526876,0.07457830355169204,0.07595720972159074,0.05542168921974859
0.08974361598592284,0.07119245024590384,0.07420649204369216,0.05756561088140923
0.07692542940995568,0.06540157985076238,0.07171517305692446,0.052119445094271716
0.09211522057596909,0.0736877274194419,0.07332808367466222,0.045213051184346265
0.09281099287804981,0.07301043858086541,0.07158941667267466,0.05413961786623614
0.0758590097428025,0.057404068262101905,0.06193697690292608,0.03684687913852991
0.10478308321467779,0.0872719429464481,0.0908614470140715,0.07151852069880266
0.10447980309920699,0.07677089557336636,0.0793927838091194,0.0540756955676965
0.08760878926248719,0.06513219889609087,0.0738162820801424,0.05184269138984626
0.08756529899587859,0.06250429744451313,0.06459629219288054,0.03966707199186416
0.11457882413957499,0.09423420470456756,0.09427387451414634,0.07370055716587073
0.09721760242426668,0.07136377487678838,0.07492510691940102,0.05003714509722122
0.0853419774648716,0.06545617744966732,0.0795083825427935,0.048245268618333274
0.08570221173225359,0.06434130318956283,0.06359237695133926,0.03919312148227729
0.09366848284970117,0.07778808455194765,0.06922556262346267,0.04026100095693531
0.10554663731664032,0.0789066996496514,0.0957441628981181,0.06162734506568456
0.09862001699767739,0.06418599343008173,0.07554879881011192,0.055326133551985
0.08380183674595545,0.056325656046568445,0.06390922718565735,0.040722297999225936
0.08586115340699696,0.0671503038093814,0.07876383660203538,0.04616678889838669
0.10075932747337565,0.07501145193687785,0.08192228241751058,0.05345637294568277
0.08767167305613574,0.059309096234599096,0.07094144396347404,0.04348699295752645
0.0945153772194906,0.08457064850575562,0.08019871288714792,0.05166836683434019
0.07523773237608877,0.05607315422338062,0.05991635312458564,0.040468931944174245
0.08663224833270708,0.06700299086980391,0.07152558331976305,0.048729925255195164
