tag,method,pairs,parcels,cf,fc,nuisance_columns,pi_residual,asym_residual,pi_joint,asym_joint,se_residual,se_joint,switch_information_fraction,max_nuisance_score
adjacent_all_observed_unit_sales,legacy_expanded,5839,2455,247,602,144,-0.011192334777114628,0.015791466826962683,-0.011807025978285972,0.021460255871406188,0.009583943311130811,0.009841172704960672,0.8725837810138944,4.296662942104845e-09
adjacent_all_observed_unit_sales,expanded_all_competitors,5261,2339,229,576,144,-0.008197498331893972,0.0239742340710105,-0.008864931444354969,0.031485090262192254,0.009327580459302674,0.009626550360030106,0.8615711429566228,3.0898537339840715e-09
adjacent_all_observed_unit_sales,unique_strict,2840,1768,441,537,138,-0.003751952335054766,0.007635364881708473,-0.0041382515969256035,0.012711331540617654,0.007507440201324045,0.008108216975126729,0.7732754605919684,1.2386618761933699e-09
adjacent_all_observed_unit_sales,unique_base,1765,1082,219,252,121,-0.01288892164828631,0.03018649517856313,-0.014180539072788965,0.045584767039835584,0.010685164719143303,0.011623432274747537,0.7961366871517005,1.5250587121276582e-09
adjacent_all_observed_unit_sales,unique_wide,1265,697,108,143,117,0.0015558245513344433,0.06935127399111804,0.000887978337229884,0.10023605748843856,0.014093554983645002,0.0157292395755507,0.7874547654147673,2.0584877691298686e-09
legacy_drop_then_pair,legacy_expanded,6114,2499,259,617,144,-0.011952366027820316,0.020658476080883736,-0.012619479351422533,0.0273973058207031,0.009307905287828653,0.009551532239388403,0.8755568237671112,3.265127307416904e-09
pair_eligible_band_before_classification,legacy_expanded,6076,2496,256,611,144,-0.010688280643988742,0.018050174176572373,-0.011295419593946131,0.023980101338010287,0.009347736223362288,0.009590353909715264,0.8753859982817488,3.222588973450513e-09
