geography,threshold,estimate,se,ci_low,ci_high,pre_above,pre_below,post_above,post_below
Manhattan,1000000,0.0549155281312238,0.07986857747995245,-0.101626883729483,0.2114579399919306,910,2145,1807,4100
Manhattan,2000000,-0.21402057840216732,0.08805271537006014,-0.38660390052748517,-0.04143725627684944,494,670,847,1447
Manhattan,3000000,-0.6214953536082286,0.11922828917459145,-0.8551828003904278,-0.3878079068260294,290,317,331,685
Other_boroughs,1000000,-0.02490369574628981,0.060919856463690254,-0.1443066144151227,0.09449922292254309,1613,6565,4306,16169
Other_boroughs,2000000,-0.49797993800813023,0.10228047304067812,-0.6984496651678593,-0.2975102108484011,333,466,777,1610
Other_boroughs,3000000,-0.6922712791780901,0.24665559163984663,-1.1757162387921896,-0.20882631956399067,91,88,226,393
