bbl,borough,zipcode,pairs,influence,absolute_outcome_weight,absolute_influence
3013940005,3,11213,1,0.001445370592122552,0.0009187278237508978,0.001445370592122552
4135730003,4,11422,1,-0.0012643705628946485,0.001273739336619842,0.0012643705628946485
4161100062,4,11693,1,-0.0012573569716475036,0.0008599548786492074,0.0012573569716475036
2046510071,2,10467,1,-0.0011805515780115173,0.0008857313480575344,0.0011805515780115173
4033820049,4,11385,1,-0.001084086180690432,0.001135737986411949,0.001084086180690432
4032660043,4,11375,1,0.001014435361655151,0.0007500276440864229,0.001014435361655151
4054890048,4,11358,1,0.0009924379632193084,0.0009649515123619958,0.0009924379632193084
3030440033,3,11206,1,-0.0009672586339631594,0.0011227154010355206,0.0009672586339631594
3057060054,3,11219,1,-0.0009471041406234771,0.0008281911094664592,0.0009471041406234771
3059680019,3,11209,1,-0.0009316947411903251,0.0008288713374888804,0.0009316947411903251
4094370008,4,11419,1,-0.0009191209076418619,0.0010206275463812958,0.0009191209076418619
3085350002,3,11234,1,-0.0009105582934852738,0.0010509690461844579,0.0009105582934852738
4014950025,4,11373,1,0.0009030247243617241,0.0012126480559756599,0.0009030247243617241
2054390049,2,10465,1,0.000871742009357155,0.0009860986089402469,0.000871742009357155
4140700082,4,11414,1,0.0008050749197079317,0.0008917255255010521,0.0008050749197079317
4075230034,4,11364,1,-0.0008027635703266187,0.0011165511695888754,0.0008027635703266187
4051090130,4,11355,1,0.0008026516418332512,0.0007642678394073352,0.0008026516418332512
4027490009,4,11378,1,0.0007874929912516995,0.000864659423137165,0.0007874929912516995
4048260031,4,11354,1,0.0007512507061484059,0.001136953609021182,0.0007512507061484059
3010180067,3,11215,1,0.0007479226894241791,0.0007363990444974787,0.0007479226894241791
4068470009,4,11366,1,-0.0007391901106505383,0.0008516160512169465,0.0007391901106505383
4031820022,4,11375,1,0.000737185802621105,0.0009424153863342901,0.000737185802621105
3018350036,3,11221,1,0.0007290185763924555,0.0009950182533224644,0.0007290185763924555
2058261666,2,10471,1,-0.0007283470120576935,0.0008677880623105638,0.0007283470120576935
3012600129,3,11216,1,-0.0007246147856176491,0.000630634218944045,0.0007246147856176491
4088500058,4,11421,1,0.0007228553545861082,0.0009752974146558736,0.0007228553545861082
4048690011,4,11354,1,0.0007100857425292781,0.0006312105163019589,0.0007100857425292781
3050110029,3,11210,1,-0.0007004200301319021,0.0008293146820317205,0.0007004200301319021
4099400086,4,11432,1,-0.0006744425027369,0.0006281877496871055,0.0006744425027369
4052820015,4,11358,1,0.0006736178796802803,0.0007420954369309206,0.0006736178796802803
3063920052,3,11228,1,0.0006677167371858613,0.0006633701152112241,0.0006677167371858613
4072360033,4,11432,1,-0.0006583476691893281,0.0007055829495404979,0.0006583476691893281
4039160002,4,11356,1,0.000653281881785378,0.0007357558531512407,0.000653281881785378
4056620033,4,11365,1,0.0006513722290005818,0.001030864216815499,0.0006513722290005818
3062440014,3,11228,1,0.0006509254264390296,0.0009523746090507756,0.0006509254264390296
4130990037,4,11413,1,-0.0006502748024469413,0.0009526501523836495,0.0006502748024469413
4060990001,4,11361,1,0.0006392750976814925,0.0007387160740315642,0.0006392750976814925
4040830005,4,11356,1,0.0006377757231086906,0.0007643831395850259,0.0006377757231086906
4064150012,4,11355,1,0.0006360989539421262,0.000934601210604644,0.0006360989539421262
4117910095,4,11420,1,-0.0006330260814717965,0.0006193672438659925,0.0006330260814717965
4060270038,4,11361,1,-0.0006308717080601158,0.0009840512425604469,0.0006308717080601158
3018270087,3,11216,1,0.000626124398647241,0.0009416568154587517,0.000626124398647241
3060290025,3,11228,1,0.0006206722100039547,0.0007174761856960389,0.0006206722100039547
4024040217,4,11378,1,-0.0006160787525359439,0.0005311672885834212,0.0006160787525359439
3059700014,3,11209,1,0.000604740491750396,0.0007633443314149285,0.000604740491750396
4047420047,4,11357,1,0.0006043247483361342,0.0010151992631179348,0.0006043247483361342
3032530040,3,11221,1,0.0005973730368830913,0.0008411767555891179,0.0005973730368830913
3003790016,3,11231,1,0.0005959122781553262,0.0007540731662376906,0.0005959122781553262
3034720020,3,11207,1,-0.0005929021194043978,0.0006887973771853241,0.0005929021194043978
4074560030,4,11364,1,0.0005911901292834407,0.000920574618701319,0.0005911901292834407
4070730048,4,11365,1,0.0005902530304529357,0.0008502896689467508,0.0005902530304529357
3018560060,3,11216,1,-0.0005869996718154736,0.0008815655671406846,0.0005869996718154736
4092780079,4,11418,1,0.0005867932156503617,0.0008486909756478554,0.0005867932156503617
3034380037,3,11207,1,-0.0005821416819463766,0.0008640094507636687,0.0005821416819463766
3062890030,3,11214,1,0.0005812847275747694,0.0006324808243246697,0.0005812847275747694
4024910029,4,11378,1,0.0005723680199718075,0.0007041777179233675,0.0005723680199718075
3035540029,3,11212,1,-0.0005709279959068864,0.0007396997303882098,0.0005709279959068864
4075240032,4,11364,1,0.0005695821426641246,0.0008984916027234549,0.0005695821426641246
3012170077,3,11216,1,0.0005689462100223765,0.0009076442174528352,0.0005689462100223765
4035280063,4,11385,1,0.000565118524989408,0.0006369866518414319,0.000565118524989408
4093000099,4,11418,1,0.0005556982918085564,0.0005911019375298073,0.0005556982918085564
2031710018,2,10453,1,0.0005528035984045431,0.0005474926590105567,0.0005528035984045431
3073720065,3,11229,1,0.0005300783143110844,0.0009938497646089781,0.0005300783143110844
3008730019,3,11215,1,0.0005255755377702768,0.0010435057901777777,0.0005255755377702768
4073060029,4,11361,1,0.0005216768094703978,0.0013305015334318837,0.0005216768094703978
3071080026,3,11223,1,-0.0005181853152738478,0.000711467089072181,0.0005181853152738478
4091290057,4,11417,1,0.0005136650621622359,0.0007485509457001513,0.0005136650621622359
2055010020,2,10465,1,0.000510342543165527,0.0010095432714938683,0.000510342543165527
4038440037,4,11385,1,0.0005075571702692647,0.0006751976007184402,0.0005075571702692647
2028920008,2,10457,1,-0.000506411758489,0.0008285499921791095,0.000506411758489
4056910061,4,11365,1,0.0005054344350532175,0.0005446095713232136,0.0005054344350532175
2058750928,2,10471,1,-0.0004948125830869289,0.001126581427319476,0.0004948125830869289
4048410022,4,11354,1,0.0004920064505636802,0.0007270856149386018,0.0004920064505636802
2058570356,2,10471,1,0.0004909942863444398,0.000821873365827068,0.0004909942863444398
4040060012,4,11356,1,0.00048193429102222156,0.0007323330235951099,0.00048193429102222156
4055410031,4,11358,1,0.000477819512568742,0.0007716598638951936,0.000477819512568742
3042050025,3,11208,1,0.0004760371313333373,0.0008194697815949959,0.0004760371313333373
3017760038,3,11206,1,-0.00047447484616074494,0.0005774323045704408,0.00047447484616074494
4100750110,4,11435,1,0.0004703817769042635,0.000888700525868877,0.0004703817769042635
2028920016,2,10457,1,-0.00046960337376140206,0.0005931435641016137,0.00046960337376140206
3088160035,3,11229,1,0.00046930473227605027,0.0006820161549952361,0.00046930473227605027
3010530035,3,11215,1,0.00046512284339138624,0.0008311604882142513,0.00046512284339138624
3012490034,3,11213,1,-0.00045882729565332347,0.0006916655981967342,0.00045882729565332347
4048370020,4,11354,1,0.00045630959146030457,0.000669140614314548,0.00045630959146030457
4141830004,4,11414,1,0.0004556810923046417,0.0007489450620898257,0.0004556810923046417
3078010010,3,11234,1,0.000452655689223227,0.0008270566107466918,0.000452655689223227
3066100065,3,11230,1,-0.00045016396156345533,0.0005105076525496906,0.00045016396156345533
3010550144,3,11215,1,-0.00044798164235374286,0.001141193434860364,0.00044798164235374286
2047730043,2,10469,1,0.0004450756853970195,0.0006627747989901424,0.0004450756853970195
4062520012,4,11361,1,0.0004431393245740463,0.0007160128193970816,0.0004431393245740463
4058930017,4,11360,1,0.0004359048984457931,0.0005942066690984651,0.0004359048984457931
3077040064,3,11234,1,0.0004341600146963684,0.0006286377061822827,0.0004341600146963684
3018170029,3,11216,1,-0.00043376289750413457,0.0008397894959834938,0.00043376289750413457
4054230060,4,11358,1,0.00042997515247920404,0.0007393693023682216,0.00042997515247920404
3084480063,3,11234,1,0.00042494372674387835,0.0007656279325644318,0.00042494372674387835
3072010026,3,11235,1,0.0004236987620101533,0.0008544556827403512,0.0004236987620101533
3077940054,3,11234,1,0.000420884160268677,0.0006073857305472982,0.000420884160268677
3056960063,3,11219,1,0.00041961321433780813,0.0008156218283958221,0.00041961321433780813
2028670137,2,10453,1,0.00041945150621179887,0.0006694353860271537,0.00041945150621179887
4132380009,4,11422,1,-0.00041918034365768934,0.00044842518129008626,0.00041918034365768934
2041630002,2,10461,1,0.000418473040261229,0.0006099758405777292,0.000418473040261229
4106920053,4,11427,2,0.0004164546715407138,0.0012625692379505163,0.0004164546715407138
3026180023,3,11222,1,-0.0004158402078955282,0.000669614629433916,0.0004158402078955282
4105010015,4,11423,1,-0.00041001575411540284,0.0005961120591732521,0.00041001575411540284
4031870026,4,11375,1,0.00040865263032550725,0.0007394018681813367,0.00040865263032550725
4121870049,4,11434,1,0.0004086149227498859,0.0009827517518276284,0.0004086149227498859
4031810010,4,11375,1,-0.0004083215726920263,0.00035717137017038185,0.0004083215726920263
4011220045,4,11370,1,0.00040794750197199324,0.0008384696809210041,0.00040794750197199324
3013990018,3,11233,1,-0.0004053746411568178,0.001084436095805793,0.0004053746411568178
4023660005,4,11378,1,0.0004014681618466461,0.0007549657394144902,0.0004014681618466461
4027740029,4,11378,1,0.00040091996324452387,0.0006682086316529357,0.00040091996324452387
3009820073,3,11215,1,-0.00039776141721749834,0.0009282115441533959,0.00039776141721749834
3062020034,3,11228,1,0.0003968106313266709,0.00030015929943320407,0.0003968106313266709
4035010014,4,11385,1,-0.00039468087813152063,0.0009837205786445858,0.00039468087813152063
4035620050,4,11385,1,0.0003945159742235593,0.0007826889979306629,0.0003945159742235593
4067230047,4,11355,2,0.00039450590393464834,0.0006484302452870976,0.00039450590393464834
3012160078,3,11213,1,-0.0003943731708970788,0.00038832606498224683,0.0003943731708970788
4104380031,4,11412,1,0.00039052953559466587,0.0009124226278981438,0.00039052953559466587
3017100030,3,11233,1,-0.00039048427876616496,0.0010030031861187453,0.00039048427876616496
3054530036,3,11219,1,0.0003867113875767153,0.00108881160707264,0.0003867113875767153
3013630005,3,11213,1,-0.00038638750847911946,0.0008667449987808845,0.00038638750847911946
3015720037,3,11233,1,-0.00038586206214405737,0.0013455797585274884,0.00038586206214405737
4093370067,4,11418,1,0.0003837871457854177,0.0006610999920609105,0.0003837871457854177
3015020058,3,11233,1,0.00038321458950692125,0.0007504386212838795,0.00038321458950692125
2034360108,2,10473,1,-0.0003801709084993316,0.0006958853905506669,0.0003801709084993316
4135950055,4,11422,1,0.0003796024538654352,0.0008395781995571231,0.0003796024538654352
4055140064,4,11358,1,-0.00037905506686849186,0.0008192202784925576,0.00037905506686849186
3049380023,3,11203,1,0.0003781971868600137,0.0007031754261481232,0.0003781971868600137
4095760039,4,11419,1,0.00037620997106545885,0.0005835612615924333,0.00037620997106545885
3010180061,3,11215,1,-0.00037493018481655495,0.0007443703464996596,0.00037493018481655495
3086190025,3,11234,1,-0.00037461320308668314,0.0008602045925864406,0.00037461320308668314
3009980021,3,11215,1,-0.0003739995922212928,0.0007762122828450465,0.0003739995922212928
4141860036,4,11414,1,0.00037334064227230966,0.0005708932459698246,0.00037334064227230966
4017150067,4,11368,1,0.0003705967320534504,0.0008730393718780498,0.0003705967320534504
3009740045,3,11215,1,0.0003702810662650522,0.00027306733841291823,0.0003702810662650522
4118080052,4,11420,1,0.0003689393167365403,0.0006455101591855352,0.0003689393167365403
4089860014,4,11421,1,0.0003687902512488567,0.0007823659348756141,0.0003687902512488567
3066040034,3,11204,1,0.0003685639998501123,0.0007513508165413821,0.0003685639998501123
3083570048,3,11234,1,0.00036680680101311517,0.0007890844434300041,0.00036680680101311517
4062390037,4,11361,1,0.0003642085299716596,0.0008186443009594764,0.0003642085299716596
3012120021,3,11216,1,-0.0003637049000900487,0.000861345424846405,0.0003637049000900487
4067290034,4,11365,1,0.00036341492004614317,0.0007269327053967128,0.00036341492004614317
3017860015,3,11221,1,-0.00036308360191132324,0.0005978464567473001,0.00036308360191132324
3016640033,3,11233,1,0.0003616460787768085,0.0009717622165091565,0.0003616460787768085
