year,threshold,above,below,log_ratio,ratio,se_log_ratio,placebo_adjusted_log_ratio,adjusted_se
2016,1000000,765,2607,-1.226079580106966,0.29344073647871116,0.047220677290129,-1.079967516364915,0.06132927955121694
2016,2000000,276,374,-0.303854931697382,0.7379679144385026,0.07894099511191963,-0.15774286795533096,0.08914903349929643
2016,3000000,131,123,0.06301296782873396,1.065040650406504,0.1255942147612455,0.209125031570785,0.13062408639844103
2017,1000000,954,3049,-1.1619052755399681,0.312889471958019,0.049589846288878456,-0.9514723914814418,0.06226459620090697
2017,2000000,275,408,-0.39449607673759035,0.6740196078431373,0.08305362037685375,-0.18406319267906407,0.09184194971295058
2017,3000000,128,153,-0.17840765747281825,0.8366013071895425,0.11732433104446488,0.03202522658570803,0.1239579899777361
2018,1000000,804,3054,-1.3346082165996114,0.2632612966601179,0.044215711938957375,-1.1100660265625242,0.05855360178749489
2018,2000000,276,354,-0.2488960474166244,0.7796610169491526,0.08258355993817308,-0.024353857379537214,0.09109587745148837
2018,3000000,122,129,-0.05579135962841554,0.9457364341085271,0.1321604310931497,0.16875083040867167,0.13825903199404901
2019,1000000,871,2994,-1.234723588127071,0.2909151636606546,0.042262462836389646,-1.0387060171445057,0.06088348089726622
2019,2000000,247,400,-0.4820762104800047,0.6175,0.10507841250470373,-0.28605863949743926,0.11244966408394788
2019,3000000,110,137,-0.21950056003570867,0.8029197080291971,0.1554548670847,-0.02348298905314322,0.16316973991529998
2020,1000000,653,2524,-1.3520230943846727,0.25871632329635497,0.048202155801714705,-1.2291631278451882,0.0723822421668157
2020,2000000,165,311,-0.6338474382786534,0.5305466237942122,0.10090638983432175,-0.5109874717391689,0.11560228017795561
2020,3000000,73,96,-0.27388875031944515,0.7604166666666666,0.40870110856298664,-0.1510287837799606,0.4134644926212414
2021,1000000,1301,4511,-1.2433856588958905,0.28840611837729996,0.04239400546984317,-1.053866935986974,0.05709076434602421
2021,2000000,338,637,-0.6337237600891445,0.5306122448979592,0.08014316851049447,-0.44420503718022786,0.09007205126321419
2021,3000000,120,198,-0.5007752879124893,0.6060606060606061,0.15946964698448476,-0.31125656500357257,0.15617032714602402
2022,1000000,1201,4009,-1.2053872905625234,0.29957595410326765,0.03979058427833699,-1.0291924160694654,0.05143773757951056
2022,2000000,333,620,-0.6215769880586934,0.5370967741935484,0.07857858836453917,-0.4453821135656355,0.0879763445478429
2022,3000000,115,227,-0.6800178891181525,0.5066079295154186,0.11966335085612233,-0.5038230146250946,0.12355221694179257
2023,1000000,988,2827,-1.0512886599457225,0.3494870887866997,0.060685851488903673,-0.8640818636780078,0.07602574389693174
2023,2000000,237,458,-0.6588090429790537,0.517467248908297,0.09644923682008033,-0.471602246711339,0.10855219081687137
2023,3000000,71,167,-0.8553139353754396,0.4251497005988024,0.19476780101260727,-0.6681071391077249,0.19951648305973985
2024,1000000,930,3088,-1.200094324997365,0.3011658031088083,0.042768646226778506,-1.0252575589723858,0.055341688265358895
2024,2000000,260,506,-0.6658550382719377,0.5138339920948617,0.09596340667423083,-0.4910182722469585,0.10245235282967828
2024,3000000,78,166,-0.7552789616669515,0.46987951807228917,0.14259847680408907,-0.5804421956419723,0.14613015722145944
2025,1000000,1040,3310,-1.1577274762356902,0.31419939577039274,0.041752395230220216,-0.9996514769853995,0.05533753400299825
2025,2000000,291,525,-0.5900749954201313,0.5542857142857143,0.08609532910380331,-0.4319989961698406,0.09447837189740746
2025,3000000,100,224,-0.8064758658669484,0.44642857142857145,0.27454763350141,-0.6483998666166577,0.27707264388913516
