threshold,adjusted_financed_share_difference,se,ci_low,ci_high,exact_price_sales,charm_sales,same_tax_side
500000,0.031029110993104313,0.07319935402647847,-0.11244162289879348,0.17449984488500211,859,40,True
1000000,0.1159111302578917,0.06289342153064359,-0.007359975942169736,0.2391822364579531,441,377,False
2000000,0.14138837688052738,0.057846415928720876,0.028009401660234468,0.2547673521008203,295,90,False
3000000,0.3603130175020994,0.0813391266027585,0.20088832936069273,0.519737705643506,129,47,False
