name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
CENTRAL MORTGAGE COMPANY,seller,False,True,3,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSF10 ET AL",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS TRUSTEE",seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
BANK OF NEW YORK,buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
UPLAND MORTGAGE LOAN TRUST A,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION AS TRUSTEE",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
CENTRAL MORTGAGE COMPANY,buyer,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE, ON",buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
US BANK NATIONAL ASSOCIATION AS TRUSTEE,seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, NATIONAL ASSOCIATION",buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
CSMC MORTGAGE-BACKED PASS-THROUGH CERT 2007-6,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON SAVINGS FUND SOCIETY FSB,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
FREEDOM MORTGAGE CORPORATION,buyer,False,True,2,name-rule audit only; foreclosure/REO not legally validated
DLJ MORTGAGE CAPITAL INC.,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
US BANK NATIONAL ASSOCIATION,seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
CASCADE FUNDING MORTGAGE TRUST HB8,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
DEUTSCHE BANK NATIONAL TRUST CO,buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
