name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
"C/O OCWEN LOAN SERVICING, LLC",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"US BANK NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"NEW CENTURY HOME EQUITY LOAN TRUST, SERIES 2006-1",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
THE MERRILL LYNCH FIRST FRANKLIN MORTGAGE LOAN TRU,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, N.A., AS SUCCESSOR",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, NATIONAL ASSOCIATION, AS SUCCESSOR TRUS",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"LASALLE BANK, N.A., AS TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS OWNER TRU",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS OWNER TRU",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"CITIMORTGAGE, INC.",buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS SUCCESSOR TRUST",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
LEHMAN XS TRUST MORTGAGE,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, NATIONAL ASSOCIATION",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSF9 MPT",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSF9 ET AL",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK TRUST N.A. AS TRUSTEE,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WELLS FARGO BANK NA,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A., AS TRUSTEE FOR PARK PLACE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON TRUST NATIONAL ASSOCIATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON SAVINGS FUND SOCIETY. FSB AS TRUSTEE,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"PNC BANK, NATIONAL ASSOCIATION",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A., AS TRUSTEE FOR STANWICH",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, NATIONAL ASSOCIATION",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"US BANK, NATIONAL ASSOCIATION, AS TRUSTEE FOR",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"TRUST MORTGAGE LOAN ASSET-BACKED CERTIFICATES,",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK NA AS TRUSTEE FOR SPECIALTY UNDERWRITING,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
AND RESIDENTIAL FINANCE TRUST MORTGAGE LOAN ASSET,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
HSBC BANK  USA N.A.,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"LASALLE BANK NATIONAL ASSOCIATION, AS TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MTG ASSOCIATION AKA FANNIE MAE,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
HRB MORTGAGE HOLDINGS,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FANNIE MAE A/K/A FEDERAL NATIONAL MORTGAGE ASSOCIA,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"NATIONSTAR REO SUB 1B, LLC",buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR REO SUB 1B LLC,seller,True,False,1,name-rule audit only; foreclosure/REO not legally validated
M&T BANK,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
SURMA SERVICING LLC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"BAYVIEW LOAN SERVICING, LLC",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, NA",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, NOT IN ITS INDIVID",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL HOME LOAN MORTGAGE COROPORATION,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FANNIE MAE,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"CITIMORTGAGE, INC",buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION, TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK NA AS LEGAL TITLE TRUSTEE FOR TRUMAN 2012,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
CITIMORTGAGE INC,buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"GARNETT, FANNIE MAE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON SAVINGS FUND SOCIETY FSB AS TRUSTEE,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
ARVEST CENTRAL MORTGAGE COMPANY,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
ARVEST CENTRAL MORTGAGE COMPANY,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"LOAN FUNDER LLC, SERIES 15931",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON SAVINGS FUND SOCIETY,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
BANK OF AMERICA N.A,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
MERILL LYNCH FIRST FRANKLIN MORTGAGE LOAN TRUST,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK TRUST NATIONAL ASSOCIATION,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"CERTIFICATEHOLDERS OF CWMBS, INC",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
CHL MORTGAGE PASS-THROUGH TRUST 2006-19,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
MORTGAGE PASS-THROUGH TRUST 2016-19,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, N.A., ET AL",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK N.A, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
STANWICH MORTGAGE LOAN TRUST SERIES 2015-3,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
THE BANK OF NY MELLON TRUST,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK N.A.,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, N.A., SUCCESSOR TRUSTEE TO LASALLE BANK",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
LASALLE BANK NATIONAL ASSOCIATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR MORTGAGE LLC,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
HSI ASSET LOAN OBLIGATION TRUST 2007-1,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION AS SUCCESSO",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON TRUST NATIONAL ASSOCIATION AS SUCCESSOR,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK NA AS LEGAL TITLE TRUSTEE FOR TRUMAN 2012,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS LEGAL TITLE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, NATIONAL ASSOCIATION AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION,",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION. AS TRUSTEE,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
ARVEST CENTRAL MORTGAGE COMPANY F/K/A,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST,NATIONAL ASSOCIATION ,AS TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION, AS TRUSTEE FO",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
NEWREZ LLC D/B/A SHELLPOINT MORTGAGE SERVICING,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK NA AS TRUSTEE,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF NEW YORK MELLON TRUST COMPANY, NA, TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A. (F",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK TRUST NATIONAL ASSOCIATION,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK, N.A.",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSF8 MASTER",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION AS TRUSTEE,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A., AS TRUSTEE FOR OPTION ONE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
CONGREGATION KEREN DAVID AND FREE LOAN SOCIETY INC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A., AS TRUSTEE, ON BEHALF OF T",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"MORTGAGE LOAN ASSET-BACKED CERTIFICATES, SERIES",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A., AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WELLS FARGO BANK NATIONAL,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"THE BANK OF NEW YORK , AS TRUSTEE",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE, ON BEH",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"21ST MORTGAGE CORPORATION, AS SERVICING AGENT",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
21ST MORTGAGE CORP.,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK,N.A., AS TRUSTEE",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION AS...",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"OCWEN LOAN SERVICING, LLC",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
SHELLPOINT MORTGAGE SERVICING,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
C-BASS MORTGAGE LOAN ASSET-BACKED CERTIFICATES,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
PHH MORTGAGE CORPORATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
ONE WEST BANK N.A.,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, NATIONAL ASSOCIATION",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"THE BANK OF NEW YORK MELLON TRUST CO., N.A.",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF NEW YORK MELLON TRUST CO., NA, TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
CHASE MORTGAGE FINANCE CORPORATION MULTI-CLASS,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
MULTI-CLASS MORTGAGE PASS-THROUGH CERTIFICATES,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF NEW YORK TRUST COMPANY, NA, TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
NEW CENTURY HOME EQUITY LOAN TRUST 2005-3,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
